Fecha	Hora	Nivel (msnm)	Aforador - Caudal (l/s)	PZ-2-A-1 (Hz)	PZ-2-A-1 (mca)	PZ-2-A-1 (N. Piezom.)	PZ-2-A-1 (%)	PZ-2-A-2 (Hz)	PZ-2-A-2 (mca)	PZ-2-A-2 (N. Piezom.)	PZ-2-A-2 (%)	PZ-2-A-3 (Hz)	PZ-2-A-3 (mca)	PZ-2-A-3 (N. Piezom.)	PZ-2-A-3 (%)	PZ-2-B-1 (Hz)	PZ-2-B-1 (mca)	PZ-2-B-1 (N. Piezom.)
12/03/2020	10:26:33	45,11	1,079	2947,6	-1,232	47,468	34,402	0	181,831	228,031	-16836,191	0	196,267	239,467	10222,255	0	177,482	222,282
12/03/2020	10:26:33	45,09	1,084	0	199,643	248,343	-5561,085	0	181,831	228,031	-16681,756	0	196,267	239,467	10275,766	0	177,482	222,282
13/03/2020	10:26:33	45,09	1,075	0	199,643	248,343	-5545,634	0	181,831	228,031	-16530,072	0	196,267	239,467	10329,86	0	177,482	222,282
13/03/2020	10:26:33	45,08	1,087	0	199,643	248,343	-5530,275	0	181,831	228,031	-16381,179	0	196,267	239,467	10384,506	0	177,482	222,282
14/03/2020	10:26:33	45,07	1,08	2947,8	-1,259	47,441	34,775	0	181,831	228,031	-16234,942	0	196,267	239,467	10439,734	0	177,482	222,282
14/03/2020	10:26:33	45,07	1,092	0	199,643	248,343	-5499,804	0	181,831	228,031	-16091,24	0	196,267	239,467	10495,573	0	177,482	222,282
15/03/2020	10:26:33	45,06	1,08	0	199,643	248,343	-5499,804	0	181,831	228,031	-16091,24	0	196,267	239,467	10495,573	0	177,482	222,282
15/03/2020	10:26:33	45,06	1,065	0	199,643	248,343	-5484,698	0	181,831	228,031	-15950,111	0	196,267	239,467	10551,991	0	177,482	222,282
16/03/2020	10:26:33	45,04	1,072	0	199,643	248,343	-5469,668	0	181,831	228,031	-15811,386	0	196,267	239,467	10609,042	3018,6	-1,385	43,415
16/03/2020	10:26:33	45,04	1,097	0	199,643	248,343	-5439,86	0	181,831	228,031	-15541,1	0	196,267	239,467	10724,99	0	177,482	222,282
17/03/2020	10:26:33	45,03	1,08	2948	-1,286	47,414	35,14	0	181,831	228,031	-15675,104	0	196,267	239,467	10666,689	0	177,482	222,282
17/03/2020	10:26:33	45,04	1,095	0	199,643	248,343	-5454,726	0	181,831	228,031	-15675,104	0	196,267	239,467	10666,689	0	177,482	222,282
18/03/2020	10:26:33	45,03	1,074	0	199,643	248,343	-5454,726	0	181,831	228,031	-15675,104	0	196,267	239,467	10666,689	0	177,482	222,282
18/03/2020	10:26:33	45,03	1,085	0	199,643	248,343	-5439,86	0	181,831	228,031	-15541,1	0	196,267	239,467	10724,99	0	177,482	222,282
19/03/2020	10:26:33	45,03	1,077	2948,1	-1,3	47,4	35,416	0	181,831	228,031	-15541,1	0	196,267	239,467	10724,99	0	177,482	222,282
19/03/2020	10:26:33	45,02	1,084	2948,1	-1,3	47,4	35,416	0	181,831	228,031	-15541,1	0	196,267	239,467	10724,99	0	177,482	222,282
20/03/2020	10:26:33	45,03	1,084	0	199,643	248,343	-5425,08	0	181,831	228,031	-15409,418	200	195,406	238,606	10736,612	0	177,482	222,282
20/03/2020	10:26:33	45,05	1,1	2948,2	-1,313	47,387	35,69	0	181,831	228,031	-15409,418	0	196,267	239,467	10783,909	0	177,482	222,282
21/03/2020	10:26:33	45,04	1,095	2948,3	-1,327	47,373	36,159	0	181,831	228,031	-15541,1	0	196,267	239,467	10724,99	215	176,575	221,375
